Country,Region,API
Angola,Sub-Saharan Africa,SDG_SSA
Benin,Sub-Saharan Africa,SDG_SSA
Botswana,Sub-Saharan Africa,SDG_SSA
Burkina Faso,Sub-Saharan Africa,SDG_SSA
Burundi,Sub-Saharan Africa,SDG_SSA
Cabo Verde,Sub-Saharan Africa,SDG_SSA
Cameroon,Sub-Saharan Africa,SDG_SSA
Central African Republic,Sub-Saharan Africa,SDG_SSA
Chad,Sub-Saharan Africa,SDG_SSA
Comoros,Sub-Saharan Africa,SDG_SSA
Congo,Sub-Saharan Africa,SDG_SSA
Côte d'Ivoire,Sub-Saharan Africa,SDG_SSA
Democratic Republic of the Congo,Sub-Saharan Africa,SDG_SSA
Djibouti,Sub-Saharan Africa,SDG_SSA
Equatorial Guinea,Sub-Saharan Africa,SDG_SSA
Eritrea,Sub-Saharan Africa,SDG_SSA
Ethiopia,Sub-Saharan Africa,SDG_SSA
Gabon,Sub-Saharan Africa,SDG_SSA
Gambia,Sub-Saharan Africa,SDG_SSA
Ghana,Sub-Saharan Africa,SDG_SSA
Guinea,Sub-Saharan Africa,SDG_SSA
Guinea-Bissau,Sub-Saharan Africa,SDG_SSA
Kenya,Sub-Saharan Africa,SDG_SSA
Lesotho,Sub-Saharan Africa,SDG_SSA
Liberia,Sub-Saharan Africa,SDG_SSA
Madagascar,Sub-Saharan Africa,SDG_SSA
Malawi,Sub-Saharan Africa,SDG_SSA
Mali,Sub-Saharan Africa,SDG_SSA
Mauritania,Sub-Saharan Africa,SDG_SSA
Mauritius,Sub-Saharan Africa,SDG_SSA
Mozambique,Sub-Saharan Africa,SDG_SSA
Namibia,Sub-Saharan Africa,SDG_SSA
Niger,Sub-Saharan Africa,SDG_SSA
Nigeria,Sub-Saharan Africa,SDG_SSA
Réunion,Sub-Saharan Africa,SDG_SSA
Rwanda,Sub-Saharan Africa,SDG_SSA
Sao Tome and Principe,Sub-Saharan Africa,SDG_SSA
Senegal,Sub-Saharan Africa,SDG_SSA
Seychelles,Sub-Saharan Africa,SDG_SSA
Sierra Leone,Sub-Saharan Africa,SDG_SSA
Somalia,Sub-Saharan Africa,SDG_SSA
South Africa,Sub-Saharan Africa,SDG_SSA
South Sudan,Sub-Saharan Africa,SDG_SSA
Swaziland,Sub-Saharan Africa,SDG_SSA
Togo,Sub-Saharan Africa,SDG_SSA
Uganda,Sub-Saharan Africa,SDG_SSA
United Republic of Tanzania,Sub-Saharan Africa,SDG_SSA
Zambia,Sub-Saharan Africa,SDG_SSA
Zimbabwe,Sub-Saharan Africa,SDG_SSA
Algeria,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Egypt,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Libya,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Morocco,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Sudan,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Tunisia,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Western Sahara,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Azerbaijan,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Armenia,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Bahrain,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Cyprus,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Georgia,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Iraq,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Israel,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Jordan,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Kuwait,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Lebanon,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Palestine,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Oman,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Qatar,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Saudi Arabia,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Syrian Arab Republic,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Turkey,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
United Arab Emirates,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Yemen,Northern Africa and Western Asia,SDG_NAFR_WEST_AS
Kazakhstan,Central and Southern Asia,SDG_CEN_SAS
Kyrgyzstan,Central and Southern Asia,SDG_CEN_SAS
Tajikistan,Central and Southern Asia,SDG_CEN_SAS
Turkmenistan,Central and Southern Asia,SDG_CEN_SAS
Uzbekistan,Central and Southern Asia,SDG_CEN_SAS
Afghanistan,Central and Southern Asia,SDG_CEN_SAS
Bangladesh,Central and Southern Asia,SDG_CEN_SAS
Bhutan,Central and Southern Asia,SDG_CEN_SAS
India,Central and Southern Asia,SDG_CEN_SAS
Iran (Islamic Republic of),Central and Southern Asia,SDG_CEN_SAS
Maldives,Central and Southern Asia,SDG_CEN_SAS
Nepal,Central and Southern Asia,SDG_CEN_SAS
Pakistan,Central and Southern Asia,SDG_CEN_SAS
Sri Lanka,Central and Southern Asia,SDG_CEN_SAS
China,Eastern and South-Eastern Asia,SDG_EAS_SEAS
"China, Hong Kong Special Administrative Region",Eastern and South-Eastern Asia,SDG_EAS_SEAS
"China, Macao Special Administrative Region",Eastern and South-Eastern Asia,SDG_EAS_SEAS
Democratic People's Republic of Korea,Eastern and South-Eastern Asia,SDG_EAS_SEAS
Japan,Eastern and South-Eastern Asia,SDG_EAS_SEAS
Mongolia,Eastern and South-Eastern Asia,SDG_EAS_SEAS
Republic of Korea,Eastern and South-Eastern Asia,SDG_EAS_SEAS
Brunei Darussalam,Eastern and South-Eastern Asia,SDG_EAS_SEAS
Cambodia,Eastern and South-Eastern Asia,SDG_EAS_SEAS
Indonesia,Eastern and South-Eastern Asia,SDG_EAS_SEAS
